"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","tartness","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.7,0.24,0.39,2.9,0.173,9.78944278489237,63,157,0.9937,3.1,0.34,9.4,5.97
7,0.31,0.26,7.4,0.069,8.97299366918451,28,160,0.9954,3.13,0.46,9.8,6.07
6.6,0.24,0.27,1.4,0.057,10.6255400381002,33,152,0.9934,3.22,0.56,9.5,6.06
6.7,0.23,0.26,1.4,0.06,10.9857234020661,33,154,0.9934,3.24,0.56,9.5,5.93
6.2,0.45,0.26,4.4,0.063,9.93890289688417,63,206,0.994,3.27,0.52,9.8,4.04
6.2,0.46,0.25,4.4,0.066,9.053278520768,62,207,0.9939,3.25,0.52,9.8,5.08
7,0.31,0.26,7.4,0.069,10.5830305396732,28,160,0.9954,3.13,0.46,9.8,5.99
6.9,0.19,0.35,5,0.067,9.9321907207049,32,150,0.995,3.36,0.48,9.8,5.09
7.2,0.19,0.31,1.6,0.062,8.84744481552382,31,173,0.9917,3.35,0.44,11.7,6.04
6.2,0.16,0.33,1.1,0.057,10.0866723747645,21,82,0.991,3.32,0.46,10.9,7.03
6.4,0.18,0.35,1,0.045,9.10804636579722,39,108,0.9911,3.31,0.35,10.9,5.89
6.8,0.2,0.59,0.9,0.147,9.03414841930147,38,132,0.993,3.05,0.38,9.1,6.14
7.2,0.21,0.34,11.9,0.043,8.17899553964957,37,213,0.9962,3.09,0.5,9.6,5.96
6,0.19,0.26,12.4,0.048,10.651128061586,50,147,0.9972,3.3,0.36,8.9,5.9
6.6,0.38,0.15,4.6,0.044,10.4546721293668,25,78,0.9931,3.11,0.38,10.2,6.06
7.4,0.2,0.36,1.2,0.038,10.4562626729402,44,111,0.9926,3.36,0.34,9.9,5.99
6.8,0.22,0.24,4.9,0.092,9.87414474358179,30,123,0.9951,3.03,0.46,8.6,6.24
6,0.19,0.26,12.4,0.048,10.8271348011671,50,147,0.9972,3.3,0.36,8.9,6
7,0.47,0.07,1.1,0.035,9.27552819708812,17,151,0.991,3.02,0.34,10.5,5.07
6.6,0.38,0.15,4.6,0.044,10.5060704948735,25,78,0.9931,3.11,0.38,10.2,6
7.2,0.24,0.27,1.4,0.038,10.0143001153034,31,122,0.9927,3.15,0.46,10.3,5.93
6.4,0.26,0.24,6.4,0.04,10.259686270276,27,124,0.9903,3.22,0.49,12.6,6.82
6.7,0.25,0.13,1.2,0.041,10.5048484612798,81,174,0.992,3.14,0.42,9.8,5.15
6.7,0.23,0.31,2.1,0.046,10.2269799132004,30,96,0.9926,3.33,0.64,10.7,8.02
7.4,0.24,0.29,10.1,0.05,9.33239193850356,21,105,0.9962,3.13,0.35,9.5,5.22
6.2,0.27,0.43,7.8,0.056,9.20104497824167,48,244,0.9956,3.1,0.51,9,6.05
6.8,0.3,0.23,4.6,0.061,7.60332256834907,50.5,238.5,0.9958,3.32,0.6,9.5,4.93
6,0.27,0.28,4.8,0.063,9.79753883888089,31,201,0.9964,3.69,0.71,10,5.06
6.7,0.23,0.31,2.1,0.046,9.24759604011366,30,96,0.9926,3.33,0.64,10.7,7.87
7.4,0.24,0.29,10.1,0.05,10.573507168006,21,105,0.9962,3.13,0.35,9.5,5.03
7.1,0.18,0.36,1.4,0.043,11.143000382657,31,87,0.9898,3.26,0.37,12.7,6.96
7,0.32,0.34,1.3,0.042,11.0070655464292,20,69,0.9912,3.31,0.65,12,7
7.4,0.18,0.3,8.8,0.064,9.1696878816413,26,103,0.9961,2.94,0.56,9.3,5.01
6.7,0.54,0.28,5.4,0.06,12.1782886402889,21,105,0.9949,3.27,0.37,9,4.94
6.8,0.22,0.31,1.4,0.053,10.7358579070583,34,114,0.9929,3.39,0.77,10.6,5.94
7.1,0.34,0.2,6.1,0.063,9.8813553863826,47,164,0.9946,3.17,0.42,10,5.12
7.3,0.22,0.3,8.2,0.047,10.9302644115786,42,207,0.9966,3.33,0.46,9.5,5.85
7.1,0.43,0.61,11.8,0.045,10.1806970810144,54,155,0.9974,3.11,0.45,8.7,5.06
7.1,0.44,0.62,11.8,0.044,9.70944086895892,52,152,0.9975,3.12,0.46,8.7,6.03
7.2,0.39,0.63,11,0.044,9.63952783932774,55,156,0.9974,3.09,0.44,8.7,6.11
6.8,0.25,0.31,13.3,0.05,10.3779132010388,69,202,0.9972,3.22,0.48,9.7,5.97
7.1,0.43,0.61,11.8,0.045,10.9833335737668,54,155,0.9974,3.11,0.45,8.7,5.04
7.1,0.44,0.62,11.8,0.044,8.93151440655556,52,152,0.9975,3.12,0.46,8.7,6.03
7.2,0.39,0.63,11,0.044,9.65199515549349,55,156,0.9974,3.09,0.44,8.7,5.95
6.1,0.27,0.43,7.5,0.049,10.4618853091308,65,243,0.9957,3.12,0.47,9,5.12
6.9,0.24,0.33,1.7,0.035,8.32359357983986,47,136,0.99,3.26,0.4,12.6,7.12
6.9,0.21,0.33,1.8,0.034,10.5578812789259,48,136,0.9899,3.25,0.41,12.6,7.07
7.5,0.17,0.32,1.7,0.04,9.60906890750151,51,148,0.9916,3.21,0.44,11.5,7.16
7.1,0.26,0.29,12.4,0.044,9.53339926720054,62,240,0.9969,3.04,0.42,9.2,6.06
6,0.34,0.66,15.9,0.046,9.77293390242083,26,164,0.9979,3.14,0.5,8.8,5.87
8.6,0.265,0.36,1.2,0.034,9.30846396930917,15,80,0.9913,2.95,0.36,11.4,6.94
9.8,0.36,0.46,10.5,0.038,9.64376931532103,4,83,0.9956,2.89,0.3,10.1,3.88
6,0.34,0.66,15.9,0.046,9.80339661630384,26,164,0.9979,3.14,0.5,8.8,5.95
7.4,0.25,0.37,13.5,0.06,11.1244046350636,52,192,0.9975,3,0.44,9.1,4.94
7.1,0.12,0.32,9.6,0.054,10.9884300479114,64,162,0.9962,3.4,0.41,9.4,5
7.4,0.25,0.37,13.5,0.06,9.13539002082523,52,192,0.9975,3,0.44,9.1,4.93
7.1,0.12,0.32,9.6,0.054,10.2378942385899,64,162,0.9962,3.4,0.41,9.4,5.07
7.1,0.23,0.35,16.5,0.04,10.6904462802038,60,171,0.999,3.16,0.59,9.1,6.09
7.1,0.23,0.35,16.5,0.04,9.72612991910159,60,171,0.999,3.16,0.59,9.1,6.04
6.9,0.33,0.28,1.3,0.051,9.42255133220313,37,187,0.9927,3.27,0.6,10.3,5.17
6.5,0.17,0.54,8.5,0.082,9.35135722552144,64,163,0.9959,2.89,0.39,8.8,5.94
7.2,0.27,0.46,18.75,0.052,10.3350631123133,45,255,1,3.04,0.52,8.9,4.95
6.7,0.41,0.34,9.2,0.049,11.6239254071093,29,150,0.9968,3.22,0.51,9.1,4.93
6.7,0.41,0.34,9.2,0.049,9.43288783780444,29,150,0.9968,3.22,0.51,9.1,4.98
5.5,0.485,0,1.5,0.065,9.59032986090311,8,103,0.994,3.63,0.4,9.7,3.96
6,0.31,0.24,3.3,0.041,10.9026009709337,25,143,0.9914,3.31,0.44,11.3,5.97
7,0.14,0.4,1.7,0.035,10.4838217089215,16,85,0.9911,3.19,0.42,11.8,5.97
7.2,0.31,0.5,13.3,0.056,9.40477013258145,68,195,0.9982,3.01,0.47,9.2,5.05
7.3,0.32,0.48,13.3,0.06,9.9297373162748,57,196,0.9982,3.04,0.5,9.2,4.98
5.9,0.36,0.04,5.7,0.046,8.83195697587518,21,87,0.9934,3.22,0.51,10.2,4.95
7.4,0.16,0.31,6.85,0.059,9.03045136727122,31,131,0.9952,3.29,0.34,9.7,4.98
6.9,0.19,0.28,5,0.058,8.93850474419299,14,146,0.9952,3.29,0.36,9.1,5.98
6.4,0.13,0.47,1.6,0.092,10.4275895079197,40,158,0.9928,3.21,0.36,9.8,5.99
6.7,0.19,0.36,1.1,0.026,9.86427928210464,63,143,0.9912,3.27,0.48,11,6.07
7.4,0.39,0.23,7,0.033,10.6633080440087,29,126,0.994,3.14,0.42,10.5,4.99
6.5,0.24,0.32,7.6,0.038,9.35678045426437,48,203,0.9958,3.45,0.54,9.7,7
6.1,0.3,0.56,2.7,0.046,10.7028779081412,46,184,0.9924,3.31,0.57,10.9,5.97
5.7,0.26,0.25,10.4,0.02,9.49103197016601,7,57,0.994,3.39,0.37,10.6,5.01
6.5,0.24,0.32,7.6,0.038,8.65817179743866,48,203,0.9958,3.45,0.54,9.7,6.94
6.5,0.425,0.4,13.1,0.038,8.98303974753343,59,241,0.9979,3.23,0.57,9,5.05
6.6,0.24,0.27,15.8,0.035,9.62484188940318,46,188,0.9982,3.24,0.51,9.2,4.85
6.8,0.27,0.22,8.1,0.034,7.09221542755474,55,203,0.9961,3.19,0.52,8.9,5.03
6.7,0.27,0.31,15.7,0.036,10.1263169084137,44,179,0.9979,3.26,0.56,9.6,4.85
8.2,0.23,0.4,1.2,0.027,9.58712363158094,36,121,0.992,3.12,0.38,10.7,5.97
7.1,0.37,0.67,10.5,0.045,8.98788946285209,49,155,0.9975,3.16,0.44,8.7,4.95
6.8,0.19,0.36,1.9,0.035,10.6329117491153,30,96,0.9917,3.15,0.54,10.8,6.93
8.1,0.28,0.39,1.9,0.029,9.24540338800447,18,79,0.9923,3.23,0.52,11.8,5.99
6.3,0.31,0.34,2.2,0.045,11.3489448449825,20,77,0.9927,3.3,0.43,10.2,4.81
7.1,0.37,0.67,10.5,0.045,8.93291878611202,49,155,0.9975,3.16,0.44,8.7,5.12
7.9,0.21,0.4,1.2,0.039,10.9468141660428,38,107,0.992,3.21,0.54,10.8,5.83
8.5,0.21,0.41,4.3,0.036,10.5421260599102,24,99,0.9947,3.18,0.53,9.7,5.95
6.3,0.255,0.37,1.1,0.04,11.6407103627228,37,114,0.9905,3,0.39,10.9,5.92
5.6,0.16,0.27,1.4,0.044,7.97442128937611,53,168,0.9918,3.28,0.37,10.1,6.21
6.4,0.595,0.14,5.2,0.058,9.32311086215696,15,97,0.9951,3.38,0.36,9,4
6.3,0.34,0.33,4.6,0.034,9.90434128682191,19,80,0.9917,3.38,0.58,12,6.87
7.2,0.18,0.41,1.2,0.048,9.43547715766298,41,97,0.9919,3.14,0.45,10.4,4.91
8.2,0.23,0.4,7.5,0.049,9.0299880806811,12,76,0.9966,3.06,0.84,9.7,5.85
7.4,0.24,0.42,14,0.066,11.5362880259971,48,198,0.9979,2.89,0.42,8.9,5.89
7.4,0.24,0.42,14,0.066,11.3441193735097,48,198,0.9979,2.89,0.42,8.9,6.1
6.1,0.32,0.24,1.5,0.036,9.49401318886492,38,124,0.9898,3.29,0.42,12.4,6.94
5.2,0.44,0.04,1.4,0.036,9.44041038495875,43,119,0.9894,3.36,0.33,12.1,7.86
5.2,0.44,0.04,1.4,0.036,10.9951036798393,43,119,0.9894,3.36,0.33,12.1,8.19
6.1,0.32,0.24,1.5,0.036,9.20131839954119,38,124,0.9898,3.29,0.42,12.4,7.04
6.4,0.22,0.56,14.5,0.055,10.8580013006268,27,159,0.998,2.98,0.4,9.1,4.98
6.3,0.36,0.3,4.8,0.049,9.34161890388399,14,85,0.9932,3.28,0.39,10.6,5.11
7.4,0.24,0.42,14,0.066,7.85684754789472,48,198,0.9979,2.89,0.42,8.9,6.09
7,0.23,0.36,13,0.051,10.1562194515218,72,177,0.9972,3.16,0.49,9.8,5.22
8.4,0.27,0.46,8.7,0.048,11.7530522786421,39,197,0.9974,3.14,0.59,9.6,5.97
6.7,0.46,0.18,2.4,0.034,9.39882388371713,25,98,0.9896,3.08,0.44,12.6,6.86
7.5,0.29,0.31,8.95,0.055,9.30988532021967,20,151,0.9968,3.08,0.54,9.3,4.99
9.8,0.42,0.48,9.85,0.034,9.56293625829015,5,110,0.9958,2.87,0.29,10,5.02
7.1,0.3,0.46,1.5,0.066,10.8404171028547,29,133,0.9906,3.12,0.54,12.7,6.23
7.9,0.19,0.45,1.5,0.045,10.5791652582294,17,96,0.9917,3.13,0.39,11,6.01
7.6,0.48,0.37,0.8,0.037,9.9258475759008,4,100,0.9902,3.03,0.39,11.4,4.05
6.3,0.22,0.43,4.55,0.038,10.1009340933579,31,130,0.9918,3.35,0.33,11.5,6.99
7.5,0.27,0.31,17.7,0.051,10.5621860890938,33,173,0.999,3.09,0.64,10.2,4.97
6.9,0.23,0.4,7.5,0.04,9.85788315699251,50,151,0.9927,3.11,0.27,11.4,6
7.2,0.32,0.47,5.1,0.044,9.951080424848,19,65,0.991,3.03,0.41,12.6,4.08
5.9,0.23,0.3,12.9,0.054,11.0141562604187,57,170,0.9972,3.28,0.39,9.4,5.21
6,0.67,0.07,1.2,0.06,9.86178204428714,9,108,0.9931,3.11,0.35,8.7,4.1
6.4,0.25,0.32,5.5,0.049,9.73850646200655,41,176,0.995,3.19,0.68,9.2,6.12
7.1,0.34,0.15,1.2,0.053,10.5996514291591,61,183,0.9936,3.09,0.43,9.2,5.1
6.8,0.28,0.4,22,0.048,8.56839644032014,48,167,1.001,2.93,0.5,8.7,5.02
6.9,0.27,0.4,14,0.05,10.6964586806675,64,227,0.9979,3.18,0.58,9.6,5.85
6.8,0.26,0.56,11.9,0.043,10.4824154057285,64,226,0.997,3.02,0.63,9.3,5.05
6.8,0.29,0.56,11.9,0.043,10.6237737954192,66,230,0.9972,3.02,0.63,9.3,4.98
6.7,0.24,0.41,9.4,0.04,9.87639146944841,49,166,0.9954,3.12,0.61,9.9,6.15
5.9,0.3,0.23,4.2,0.038,10.5829814077189,42,119,0.9924,3.15,0.5,11,4.92
6.8,0.53,0.35,3.8,0.034,10.7741086693081,26,109,0.9906,3.26,0.57,12.7,7.96
6.5,0.28,0.28,8.5,0.047,9.62624430008537,54,210,0.9962,3.09,0.54,8.9,3.91
6.6,0.28,0.28,8.5,0.052,9.1527442327345,55,211,0.9962,3.09,0.55,8.9,5.98
6.8,0.28,0.4,22,0.048,11.5619953887134,48,167,1.001,2.93,0.5,8.7,5.04
6.8,0.28,0.36,8,0.045,9.4919314319298,28,123,0.9928,3.02,0.37,11.4,5.93
6.6,0.15,0.34,5.1,0.055,8.58457580821738,34,125,0.9942,3.36,0.42,9.6,5.08
6.4,0.29,0.44,3.6,0.2,9.75654405695387,75,181,0.9942,3.02,0.41,9.1,4.88
6.4,0.3,0.45,3.5,0.197,10.378297742806,76,180,0.9942,3.02,0.39,9.1,5.9
6.4,0.29,0.44,3.6,0.197,7.32149557822222,75,183,0.9942,3.01,0.38,9.1,5.14
6.8,0.26,0.24,7.8,0.052,10.0060641537156,54,214,0.9961,3.13,0.47,8.9,4.9
7.1,0.32,0.24,13.1,0.05,10.4481431065832,52,204,0.998,3.1,0.49,8.8,5.04
6.8,0.26,0.24,7.8,0.052,9.45640706796048,54,214,0.9961,3.13,0.47,8.9,4.96
7.1,0.32,0.24,13.1,0.05,9.6795616513285,52,204,0.998,3.1,0.49,8.8,5.17
6.9,0.54,0.32,13.2,0.05,10.2554206942607,53,236,0.9973,3.2,0.5,9.6,5.16
5.8,0.28,0.35,2.3,0.053,9.79257012121376,36,114,0.9924,3.28,0.5,10.2,3.77
6.4,0.21,0.5,11.6,0.042,10.747115373443,45,153,0.9972,3.15,0.43,8.8,5.25
7,0.16,0.32,8.3,0.045,8.4600996754926,38,126,0.9958,3.21,0.34,9.2,5.07
10.2,0.44,0.88,6.2,0.049,8.78299537893604,20,124,0.9968,2.99,0.51,9.9,4.05
6.8,0.57,0.29,2.2,0.04,10.9195712302188,15,77,0.9938,3.32,0.74,10.2,5
6.1,0.4,0.31,0.9,0.048,10.076336209891,23,170,0.993,3.22,0.77,9.5,6.05
6.8,0.18,0.38,1.4,0.038,9.28620241800002,35,111,0.9918,3.32,0.59,11.2,7.04
7,0.16,0.32,8.3,0.045,10.0337417976021,38,126,0.9958,3.21,0.34,9.2,4.96
6.7,0.13,0.29,5.3,0.051,10.4748549469761,31,122,0.9944,3.44,0.37,9.7,5.86
7.5,0.27,0.36,7,0.036,11.5488365774616,45,164,0.9939,3.03,0.33,11,4.97
5.8,0.26,0.24,9.2,0.044,12.1775525536302,55,152,0.9961,3.31,0.38,9.4,4.87
5.7,0.28,0.24,17.5,0.044,10.6405688179179,60,167,0.9989,3.31,0.44,9.4,5.06
7.2,0.685,0.21,9.5,0.07,9.45110013210728,33,172,0.9971,3,0.55,9.1,6
6.2,0.25,0.25,1.4,0.03,10.0645018385279,35,105,0.9912,3.3,0.44,11.1,6.94
6.3,0.495,0.22,1.8,0.046,9.32239625953533,31,140,0.9929,3.39,0.54,10.4,5.88
7.1,0.24,0.41,17.8,0.046,8.61578589285598,39,145,0.9998,3.32,0.39,8.7,5.18
7.1,0.25,0.32,10.3,0.041,8.59321482865079,66,272,0.9969,3.17,0.52,9.1,5.84
6.4,0.17,0.32,2.4,0.048,9.13704194682976,41,200,0.9938,3.5,0.5,9.7,6.02
7.1,0.24,0.41,17.8,0.046,7.50120379111932,39,145,0.9998,3.32,0.39,8.7,5.03
6.8,0.64,0.08,9.7,0.062,8.5425102482774,26,142,0.9972,3.37,0.46,8.9,3.9
8.3,0.28,0.4,7.8,0.041,10.9500159486971,38,194,0.9976,3.34,0.51,9.6,5.71
7.2,0.23,0.38,14.3,0.058,8.63254204506749,55,194,0.9979,3.09,0.44,9,6.06
7.2,0.23,0.38,14.3,0.058,8.30349225507373,55,194,0.9979,3.09,0.44,9,5.99
7.2,0.23,0.38,14.3,0.058,10.0060514542183,55,194,0.9979,3.09,0.44,9,5.99
7.2,0.23,0.38,14.3,0.058,9.36712410613955,55,194,0.9979,3.09,0.44,9,6.06
6.8,0.52,0.32,13.2,0.044,10.4796626997235,54,221,0.9972,3.27,0.5,9.6,5.88
7,0.26,0.59,1.4,0.037,10.1324114598762,40,120,0.9918,3.34,0.41,11.1,7.11
6.2,0.25,0.21,15.55,0.039,9.80567682248023,28,159,0.9982,3.48,0.64,9.6,6
7.3,0.32,0.23,13.7,0.05,12.3160519614828,49,197,0.9985,3.2,0.46,8.7,5.07
7.7,0.31,0.26,7.8,0.031,7.9039789972229,23,90,0.9944,3.13,0.5,10.4,5.1
7.1,0.21,0.37,2.4,0.026,9.51012842366145,23,100,0.9903,3.15,0.38,11.4,7.02
6.8,0.24,0.34,2.7,0.047,8.30150261277698,64.5,218.5,0.9934,3.3,0.58,9.7,5.91
6.8,0.21,0.27,2.1,0.03,9.49706084674492,26,139,0.99,3.16,0.61,12.6,6.95
5.8,0.2,0.27,1.4,0.031,9.71147922617608,12,77,0.9905,3.25,0.36,10.9,6.97
5.6,0.19,0.26,1.4,0.03,9.74696259681937,12,76,0.9905,3.25,0.37,10.9,6.98
6.1,0.41,0.14,10.4,0.037,8.58314246560177,18,119,0.996,3.38,0.45,10,5.1
5.9,0.21,0.28,4.6,0.053,7.72895676953439,40,199,0.9964,3.72,0.7,10,4.01
8.5,0.26,0.21,16.2,0.074,9.8064216849098,41,197,0.998,3.02,0.5,9.8,3.04
6.9,0.4,0.56,11.2,0.043,10.571102698026,40,142,0.9975,3.14,0.46,8.7,4.99
5.8,0.24,0.44,3.5,0.029,11.0502880421231,5,109,0.9913,3.53,0.43,11.7,2.98
5.8,0.24,0.39,1.5,0.054,11.6380408534176,37,158,0.9932,3.21,0.52,9.3,6.07
6.3,0.35,0.3,5.7,0.035,10.2254159686175,8,97,0.9927,3.27,0.41,11,6.76
6.3,0.35,0.3,5.7,0.035,10.7740439112764,8,97,0.9927,3.27,0.41,11,7.06
6.4,0.23,0.39,1.8,0.032,10.0046526136549,23,118,0.9912,3.32,0.5,11.8,6.04
5.8,0.36,0.38,0.9,0.037,10.3554355388888,3,75,0.9904,3.28,0.34,11.4,3.96
6.9,0.115,0.35,5.4,0.048,9.23282539072164,36,108,0.9939,3.32,0.42,10.2,6.1
6.9,0.29,0.4,19.45,0.043,9.15866539980562,36,156,0.9996,2.93,0.47,8.9,4.96
6.9,0.28,0.4,8.2,0.036,10.2967195584927,15,95,0.9944,3.17,0.33,10.2,4.97
7.2,0.29,0.4,13.6,0.045,9.98786608348392,66,231,0.9977,3.08,0.59,9.6,6.09
6.2,0.24,0.35,1.2,0.038,10.7072897707045,22,167,0.9912,3.1,0.48,10.6,6.17
6.9,0.29,0.4,19.45,0.043,10.0204367830702,36,156,0.9996,2.93,0.47,8.9,5.03
6.9,0.32,0.26,8.3,0.053,10.5981402653264,32,180,0.9965,3.25,0.51,9.2,5.96
5.3,0.58,0.07,6.9,0.043,9.8863021627054,34,149,0.9944,3.34,0.57,9.7,4.88
5.3,0.585,0.07,7.1,0.044,8.67771222271759,34,145,0.9945,3.34,0.57,9.7,5.97
5.4,0.59,0.07,7,0.045,9.79755254202299,36,147,0.9944,3.34,0.57,9.7,5.91
6.9,0.32,0.26,8.3,0.053,11.3938566042444,32,180,0.9965,3.25,0.51,9.2,5.97
5.2,0.6,0.07,7,0.044,10.7657214524075,33,147,0.9944,3.33,0.58,9.7,5.04
6.6,0.58,0.3,5.1,0.057,11.1166235575747,30,123,0.9949,3.24,0.38,9,5.26
7,0.29,0.54,10.7,0.046,9.5557281356351,59,234,0.9966,3.05,0.61,9.5,5.02
6.6,0.19,0.41,8.9,0.046,9.29579660111157,51,169,0.9954,3.14,0.57,9.8,6.11
7.7,0.26,0.4,1.1,0.042,9.59409386838296,9,60,0.9915,2.89,0.5,10.6,5.07
6.8,0.32,0.34,1.2,0.044,9.49743575912244,14,67,0.9919,3.05,0.47,10.6,3.87
7,0.3,0.49,4.7,0.036,9.97330662761674,17,105,0.9916,3.26,0.68,12.4,7.09
6.7,0.34,0.3,15.6,0.054,10.5847145141446,51,196,0.9982,3.19,0.49,9.3,4.93
7.3,0.32,0.25,7.2,0.056,9.57840916090552,47,180,0.9961,3.08,0.47,8.8,4.9
7.2,0.23,0.39,14.2,0.058,10.8038504797198,49,192,0.9979,2.98,0.48,9,7.09
7.2,0.23,0.39,14.2,0.058,9.76265861591056,49,192,0.9979,2.98,0.48,9,7.04
7.2,0.23,0.39,14.2,0.058,10.3757762376551,49,192,0.9979,2.98,0.48,9,7.1
7.2,0.23,0.39,14.2,0.058,8.90181034706574,49,192,0.9979,2.98,0.48,9,6.96
7.4,0.28,0.42,19.8,0.066,10.7620566193422,53,195,1,2.96,0.44,9.1,5.02
6.2,0.28,0.22,7.3,0.041,9.52038347689235,26,157,0.9957,3.44,0.64,9.8,6.86
6.3,0.33,0.27,1.2,0.046,9.78254755208207,34,175,0.9934,3.37,0.54,9.4,6.01
8.3,0.39,0.7,10.6,0.045,9.2083495015212,33,169,0.9976,3.09,0.57,9.4,5.08
7.2,0.19,0.46,3.8,0.041,10.2845771657289,82,187,0.9932,3.19,0.6,11.2,7.1
7.5,0.17,0.44,11.3,0.046,10.3043298910705,65,146,0.997,3.17,0.45,10,5.99
6.1,0.41,0,1.6,0.063,9.49872858657046,36,87,0.9914,3.27,0.67,10.8,6.09
8.3,0.2,0.35,0.9,0.05,10.2967492824496,12,74,0.992,3.13,0.38,10.5,5.9
6.1,0.41,0,1.6,0.063,10.4656052759494,36,87,0.9914,3.27,0.67,10.8,6.2
6,0.29,0.21,1.3,0.055,10.521593274084,42,168,0.9914,3.32,0.43,11.1,5.96
7.3,0.41,0.24,6.8,0.057,9.84084454388987,41,163,0.9949,3.2,0.41,9.9,6.17
7.3,0.41,0.24,6.8,0.057,11.0553434790755,41,163,0.9949,3.2,0.41,9.9,6.15
7.2,0.43,0.24,6.7,0.058,10.11531595029,40,163,0.995,3.2,0.41,9.9,5.01
7.3,0.4,0.24,6.7,0.058,8.492686767676,41,166,0.995,3.2,0.41,9.9,6.06
6.2,0.33,0.27,4.9,0.036,11.4695033783765,30,134,0.9927,3.2,0.42,10.4,6.9
6.2,0.31,0.26,4.8,0.037,10.8338023720205,36,148,0.9928,3.21,0.41,10.4,6.03
